Sampling,Target,Dataset,Residual Mean,Residual RMS,Residual P95
15min,CHL_RWCD_TEMP_1,065,0.4998929773770731,1.1301010668528133,2.453443877832033
1h,CHL_POW_1,Baseline,0.08321433427391389,4.036084723854812,5.112893888257718
1h,CHL_POW_1,095,0.15372476951794892,4.729704921981908,5.663509286366392
1h,CHL_POW_1,080,0.32720946972454334,5.094975076740081,6.4059268557139015
1h,CHL_POW_1,065,0.8002135427676998,6.084834286092889,8.972731755126546
1h,CT_SW_TEMP_1,Baseline,0.0053890508351515055,0.16942435800543018,0.23884932538085984
1h,CT_SW_TEMP_1,095,0.14137921075017823,0.24981231089971145,0.4249853359309826
1h,CT_SW_TEMP_1,080,0.6129426727546147,0.7675704387944335,1.2889507543099024
1h,CT_SW_TEMP_1,065,1.26237558708494,1.5306301785798802,2.6035311476969327
1h,CHL_SW_TEMP_1,Baseline,0.0007904900369848232,0.1030893690358118,0.11434631618489868
1h,CHL_SW_TEMP_1,095,0.0023674177945335177,0.14515793576598007,0.13566307447916662
1h,CHL_SW_TEMP_1,080,0.0015792619074730526,0.14555219091781338,0.14346738874186762
1h,CHL_SW_TEMP_1,065,0.0030819361680848112,0.1620122831721319,0.1524538888378908
1h,CHL_RWCD_TEMP_1,Baseline,0.00249482551417198,0.15899796508707528,0.2087136744563823
1h,CHL_RWCD_TEMP_1,095,0.039173252907053036,0.20016646614144334,0.3927848206722047
1h,CHL_RWCD_TEMP_1,080,0.20210327867477898,0.5097458919185842,1.137862388082681
1h,CHL_RWCD_TEMP_1,065,0.5028415675316849,1.0986274892146952,2.329629204902349
2h,CHL_POW_1,Baseline,0.14496104730149956,3.075808384011869,4.192544634218123
2h,CHL_POW_1,095,0.2078511082771917,3.755328388875707,4.86196422597979
2h,CHL_POW_1,080,0.3863760290149615,3.852501143950814,5.879632761445903
2h,CHL_POW_1,065,0.833040586609519,4.846175484754143,8.215939738130105
2h,CT_SW_TEMP_1,Baseline,0.007974349598413286,0.16760069100572608,0.20110303242676228
2h,CT_SW_TEMP_1,095,0.1456703864023449,0.2444215995359239,0.4007853610774791
2h,CT_SW_TEMP_1,080,0.6164222059239705,0.7524469024172578,1.251279459992678
2h,CT_SW_TEMP_1,065,1.265279391666708,1.505378701091654,2.4785873134073895
2h,CHL_SW_TEMP_1,Baseline,0.002311520990828037,0.0772973672738382,0.07831820038004163
2h,CHL_SW_TEMP_1,095,0.0038843784901517195,0.10782611773159005,0.10051225998047253
2h,CHL_SW_TEMP_1,080,0.0022452794985714144,0.10365266317659208,0.10207695317057683
2h,CHL_SW_TEMP_1,065,0.0058241448098042365,0.13043493939086012,0.11695960990478302
2h,CHL_RWCD_TEMP_1,Baseline,0.006354745555801124,0.1545891780470869,0.18018255836751396
2h,CHL_RWCD_TEMP_1,095,0.044920903342601376,0.1902701483905887,0.35954883949625127
2h,CHL_RWCD_TEMP_1,080,0.20711553406135194,0.48830780461013173,1.063903497065429
2h,CHL_RWCD_TEMP_1,065,0.5068516067549256,1.0651191009874177,2.2008816705305976
